Project,Subproject,Treatment,"Deployment Name","ID Type","Deployment ID","Sequence ID","Begin Time","End Time","Species Name","Common Name",Age,Sex,"Individually Identifiable",Count,"Actual Lat","Actual Lon",Fuzzed
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s16,2018-06-20T13:19:12,2018-06-20T13:19:18,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s16,2018-06-20T13:19:12,2018-06-20T13:19:18,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,4,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s17,2018-06-20T15:54:43,2018-06-20T15:54:49,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s18,2018-06-20T16:52:29,2018-06-20T16:52:36,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s19,2018-06-20T18:34:22,2018-06-20T18:34:27,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s19,2018-06-20T18:34:22,2018-06-20T18:34:27,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s2,2018-06-13T09:58:17,2018-06-13T09:58:23,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s20,2018-06-20T18:47:08,2018-06-20T18:47:13,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s21,2018-06-20T19:34:02,2018-06-20T19:34:08,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s21,2018-06-20T19:34:02,2018-06-20T19:34:08,"Other Bird species","Other Bird species",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s22,2018-06-20T19:35:14,2018-06-20T19:35:19,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s22,2018-06-20T19:35:14,2018-06-20T19:35:19,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s23,2018-06-20T20:39:24,2018-06-20T20:39:55,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s24,2018-06-20T20:41:14,2018-06-20T20:41:49,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s25,2018-06-20T20:45:54,2018-06-20T20:46:00,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s25,2018-06-20T20:45:54,2018-06-20T20:46:00,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s26,2018-06-21T12:54:10,2018-06-21T12:56:31,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s26,2018-06-21T12:54:10,2018-06-21T12:56:31,"Odocoileus virginianus","White-tailed Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s26,2018-06-21T12:54:10,2018-06-21T12:56:31,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s27,2018-06-21T13:02:17,2018-06-21T13:02:50,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s28,2018-06-21T15:50:52,2018-06-21T15:50:58,"Odocoileus hemionus","Mule Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s29,2018-06-22T12:54:10,2018-06-22T12:54:23,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s3,2018-06-13T16:26:14,2018-06-13T16:26:20,"Taxidea taxus","American Badger",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s30,2018-06-24T22:23:56,2018-06-24T22:24:15,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s30,2018-06-24T22:23:56,2018-06-24T22:24:15,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s31,2018-06-25T07:02:35,2018-06-25T07:02:41,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s32,2018-06-26T23:42:29,2018-06-26T23:42:34,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s33,2018-06-27T19:52:14,2018-06-27T19:52:45,"Urocitellus columbianus","Columbian Ground Squirrel",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s34,2018-06-28T09:34:23,2018-06-28T09:34:36,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s35,2018-06-28T11:00:15,2018-06-28T11:00:21,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s36,2018-06-28T13:11:41,2018-06-28T13:11:48,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s37,2018-06-28T17:58:54,2018-06-28T17:59:41,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,3,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s37,2018-06-28T17:58:54,2018-06-28T17:59:41,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s38,2018-06-28T18:16:40,2018-06-28T18:17:58,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s38,2018-06-28T18:16:40,2018-06-28T18:17:58,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,3,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s39,2018-06-28T18:46:17,2018-06-28T18:49:57,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s4,2018-06-14T16:49:49,2018-06-14T16:49:56,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s40,2018-06-28T19:00:02,2018-06-28T19:00:08,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s41,2018-06-28T20:08:02,2018-06-28T20:08:10,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s42,2018-06-28T20:18:36,2018-06-28T20:19:43,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s43,2018-06-28T20:24:40,2018-06-28T20:24:46,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s44,2018-06-28T20:26:38,2018-06-28T20:30:24,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s45,2018-06-28T20:55:33,2018-06-28T20:55:39,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s46,2018-06-28T20:57:10,2018-06-28T20:59:31,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s47,2018-06-28T21:01:44,2018-06-28T21:03:35,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s48,2018-06-28T21:14:47,2018-06-28T21:14:54,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s49,2018-06-28T21:51:58,2018-06-28T21:52:04,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s5,2018-06-15T09:31:37,2018-06-15T09:31:50,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s50,2018-06-29T01:46:26,2018-06-29T01:47:18,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s51,2018-06-29T01:52:43,2018-06-29T01:52:50,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s52,2018-06-29T01:59:08,2018-06-29T02:00:04,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s53,2018-06-29T02:08:54,2018-06-29T02:09:06,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s54,2018-06-29T02:14:51,2018-06-29T02:14:57,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s55,2018-06-29T02:16:50,2018-06-29T02:16:55,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s56,2018-06-29T02:18:36,2018-06-29T02:18:43,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s57,2018-06-29T03:49:17,2018-06-29T03:50:02,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s58,2018-06-29T04:08:11,2018-06-29T04:08:41,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s59,2018-06-30T07:21:33,2018-06-30T07:21:38,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s6,2018-06-17T11:22:48,2018-06-17T11:23:44,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s60,2018-06-30T07:22:49,2018-06-30T07:22:54,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s61,2018-06-30T07:24:15,2018-06-30T07:25:53,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s62,2018-06-30T08:02:19,2018-06-30T08:02:25,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s63,2018-06-30T08:42:00,2018-06-30T08:42:06,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s64,2018-06-30T08:50:24,2018-06-30T08:50:39,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s65,2018-06-30T09:25:22,2018-06-30T09:26:11,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s66,2018-06-30T09:37:31,2018-06-30T09:40:54,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s67,2018-06-30T10:12:08,2018-06-30T10:18:00,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s68,2018-06-30T10:23:20,2018-06-30T10:37:02,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s69,2018-06-30T10:44:31,2018-06-30T10:44:37,"Cervus elaphus","Elk aka Red Deer",Juvenile,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s7,2018-06-17T11:53:32,2018-06-17T11:53:38,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s70,2018-06-30T11:12:28,2018-06-30T11:13:49,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,4,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s71,2018-06-30T11:15:15,2018-06-30T11:15:28,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,4,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s72,2018-06-30T11:17:33,2018-06-30T11:17:40,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,3,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s73,2018-06-30T11:28:43,2018-06-30T11:28:49,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s74,2018-06-30T11:30:53,2018-06-30T11:31:27,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s74,2018-06-30T11:30:53,2018-06-30T11:31:27,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,4,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s75,2018-06-30T11:37:33,2018-06-30T11:37:39,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s75,2018-06-30T11:37:33,2018-06-30T11:37:39,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s76,2018-06-30T11:42:00,2018-06-30T11:42:07,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s77,2018-06-30T13:29:46,2018-06-30T13:29:52,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s78,2018-06-30T13:31:53,2018-06-30T13:31:58,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
