deployment_id,deployment_name,proposed_date_out,proposed_retrieval_date,actual_date_out,retrieval_date,proposed_lat,proposed_long,actual_lat,actual_long,fuzzed,project_id,project_name,sub_project_id,sub_project_name,sub_project_design,plot_name,plot_treatment,camera_failure_details,deployment_notes,bait_type,bait_description,feature,feature_type_methodology,image_resolution_setting,detection_distance,sensitivity_setting,quiet_period_setting,camera_id
"d61868","BAC.BLCH_Rec006_Mem033.20190819","","","2019-08-19","2019-10-24","","","47.04922","-113.05653","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","10","","","Rec006"
"d61865","BAC.BLCH_Rec042_Mem097.20190819","","","2019-08-19","2019-10-24","","","47.07802","-113.07108","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","11.9","","","Rec042"
"d61862","BAC.BLCH_Rec025_Mem065.20190819","","","2019-08-19","2019-10-24","","","47.08790","-113.09731","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","11.9","","","Rec025"
"d61864","BAC.BLCH_Rec044_Mem077.20190819","","","2019-08-19","2019-10-24","","","47.07802","-113.08601","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","18.3","","","Rec044"
"d61860","BAC.BLCH_Rec046_Mem023.20190819","","","2019-08-19","2019-10-24","","","47.07014","-113.10805","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","21","","","Rec046"
"d61867","BAC.BLCH_Rec060_Mem046.20190819","","","2019-08-19","2019-10-24","","","47.06229","-113.05164","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","13.7","","","Rec060"
"d61866","BAC.BLCH_Rec045_Mem094.20190819","","","2019-08-19","2019-10-24","","","47.06007","-113.07124","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","11.9","","","Rec045"
"d61869","BAC.BLCH_Rec064_Mem042.20190819","","","2019-08-19","2019-10-24","","","47.04448","-113.07418","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","12.8","","","Rec064"
"d61871","BAC.BLCH_Rec037_Mem041.20190819","","","2019-08-19","2019-10-24","","","47.05159","-113.09887","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","12.8","","","Rec037"
"d61872","BAC.BLCH_Rec057_Mem099.20190819","","","2019-08-19","2019-10-24","","","47.06623","-113.09838","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","13.7","","","Rec057"
"d61870","BAC.BLCH_Rec063_Mem108.20190819","","","2019-08-19","2019-10-24","","","47.05593","-113.08179","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","12.8","","","Rec063"
"d61873","BAC.BLCH_Rec039_Mem084.20190819","","","2019-08-19","2019-10-24","","","47.05059","-113.08830","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","13.7","","","Rec039"
"d61874","BAC.BLCH_Rec016_Mem078.20190819","","","2019-08-19","2019-10-24","","","47.06378","-113.08588","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","12.8","","","Rec016"
"d61982","BAC.AROW_Rec018_Mem012.20190713","","","2019-07-13","2019-09-01","","","48.07134","-112.68844","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","18.3","","","Rec018"
"d62963","BAC.AROW_Rec003_Mem048.20190901","","","2019-09-01","2019-11-05","","","48.04665","-112.71810","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","17.4","","","Rec003"
"d62966","BAC.AROW_Rec024_Mem035.20190901","","","2019-09-01","2019-11-05","","","48.05830","-112.71178","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","11.9","","","Rec024"
"d62978","BAC.AROW_Rec054_Mem014.20190831","","","2019-08-31","2019-11-07","","","48.08351","-112.62646","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","11.9","","","Rec054"
"d62965","BAC.AROW_Rec038_Mem079.20190901","","","2000-01-01","2000-01-01","","","48.05670","-112.69405","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","18.3","","","Rec038"
"d62973","BAC.AROW_Rec059_Mem083.20190901","","","2019-09-01","2019-11-05","","","48.08905","-112.70071","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","10.1","","","Rec059"
"d62976","BAC.AROW_Rec051_Mem036.20190831","","","2019-08-31","2019-11-07","","","48.10173","-112.62114","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","23.8","","","Rec051"
"d62971","BAC.AROW_Rec047_Mem058.20190901","","","2019-09-01","2019-11-05","","","48.09279","-112.69278","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","13.7","","","Rec047"
"d62974","BAC.AROW_Rec021_Mem072.20180830","","","2019-08-30","2019-11-05","","","48.08834","-112.71500","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","I picked up the camera at 9:00 am on 11/6/2019, but it was covered in ice, so did not take a final ""camera trapper"" photo.","No Bait","","Not Entered","","","20.1","","","Rec021"
"d62977","BAC.AROW_Rec007_Mem088.20190831","","","2019-08-31","2019-11-07","","","48.09068","-112.62233","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","22.9","","","Rec007"
"d62975","BAC.AROW_Rec010_Mem098.20190831","","","2019-08-31","2019-11-07","","","48.10016","-112.63235","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Rec010"
"d62967","BAC.AROW_Rec028_Mem009.20190901","","","2019-09-01","2019-11-05","","","48.06534","-112.70638","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","20.1","","","Rec028"
"d62968","BAC.AROW_Rec018_Mem059.20190901","","","2019-09-01","2019-11-05","","","48.07125","-112.71844","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","11","","","Rec018"
"d62972","BAC.AROW_Rec041_Mem050.20190901","","","2019-09-01","2019-11-05","","","48.08186","-112.69195","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","Camera turned by griz on 10/11/2019 7:38, but still useable.","No Bait","","Not Entered","","","10.1","","","Rec041"
"d62964","BAC.AROW_Rec055_Mem045.20190901","","","2019-09-01","2019-11-05","","","48.05270","-112.70563","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","14.6","","","Rec055"
"d62969","BAC.AROW_Rec061_Mem060.20190901","","","2019-09-01","2019-11-05","","","48.08092","-112.71297","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","18.3","","","Rec061"
"d63317","BAC.HMSA_Rec030_Mem089.20190831","","","2019-08-31","2019-11-04","","","48.13914","-112.64834","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","13.7","","","Rec030"
"d63316","BAC.HMSA_Rec009_Mem102.20190830","","","2019-08-30","2019-11-07","","","48.10101","-112.66422","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","11","","","Rec009"
"d63324","BAC.HMSA_Rec012_Mem063.20190831","","","2019-08-31","2019-11-07","","","48.10607","-112.65005","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Rec012"
"d63338","BAC.TRMR_Bro021_Mem210.20190830","","","2019-08-30","2019-11-07","","","48.11224","-112.65851","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Bro021"
"d63325","BAC.HMSA_Rec032_Mem075.20190831","","","2019-08-31","2019-11-04","","","48.12597","-112.65501","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","16.5","","","Rec032"
"d63374","BAC.TRMR_Bro032_Mem204.20190830","","","2019-08-30","2019-11-06","","","48.10326","-112.69839","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","Camera covered in ice when picked up","No Bait","","Not Entered","","","21","","","Bro032"
"d63346","BAC.TRMR_Bro042_Mem144.20190830","","","2019-08-30","2019-11-06","","","48.11029","-112.68571","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","25.6","","","Bro042"
"d63345","BAC.TRMR_Bro043_Mem148.20190830","","","2019-08-30","2019-11-06","","","48.12199","-112.67567","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","27.4","","","Bro043"
"d63342","BAC.TRMR_Bro073_Mem169.20190830","","","2019-08-30","2019-11-06","","","48.09256","-112.71216","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","21","","","Bro073"
"d63339","BAC.TRMR_Bro016_Mem116.20190830","","","2019-08-30","2019-11-06","","","48.09591","-112.68559","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","31.1","","","Bro016"
"d63322","BAC.HMSA_Rec023_Mem064.20190831","","","2019-08-31","2019-11-07","","","48.11958","-112.65015","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","17.4","","","Rec023"
"d63373","BAC.AROW_Rec033_Mem013.20190901","","","2019-09-01","2019-11-05","","","48.07642","-112.70396","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","14.6","","","Rec033"
"d63337","BAC.TRMR_Bro033_Mem172.20190830","","","2019-08-30","2019-11-06","","","48.09004","-112.65432","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","27.4","","","Bro033"
"d63321","BAC.HMSA_Rec020_Mem081.20190831","","","2019-08-31","2019-11-04","","","48.12629","-112.64433","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","12.8","","","Rec020"
"d63319","BAC.HMSA_Rec062_Mem051.20190831","","","2019-08-31","2019-09-18","","","48.12922","-112.66247","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Unknown Failure","Camera fell over on 9/19/19 and became useless (other than for mice).","No Bait","","Not Entered","","","10.1","","","Rec062"
"d63343","BAC.TRMR_Bro040_Mem217.20190830","","","2019-08-30","2019-11-06","","","48.07983","-112.72232","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","14.6","","","Bro040"
"d63344","BAC.TRMR_Bro029_Mem195.20190830","","","2019-08-30","2019-11-05","","","48.06104","-112.73254","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","17.4","","","Bro029"
"d63318","BAC.HMSA_Rec036_Mem018.20190831","","","2019-08-31","2019-11-04","","","48.13256","-112.63963","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","20.1","","","Rec036"
"d63341","BAC.TRMR_Bro037_Mem205.20190830","","","2019-08-30","2019-11-03","","","48.10050","-112.70988","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","Camera covered in ice when recovered.","No Bait","","Not Entered","","","23.8","","","Bro037"
"d63320","BAC.HMSA_Rec040_Mem068.20190831","","","2019-08-31","2019-11-04","","","48.13319","-112.64832","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Rec040"
"d63323","BAC.HMSA_Rec027_Mem091.20190831","","","2019-08-31","2019-11-07","","","48.11079","-112.64165","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","17.4","","","Rec027"
"d61971","BAC.AROW_Rec009_Mem027.20190711","","","2019-07-11","2019-08-30","","","48.08017","-112.68176","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Rec009"
"d61978","BAC.AROW_Rec061_Mem181.20190713","","","2019-07-13","2019-09-01","","","48.06411","-112.71859","False","p211","Montana Ranch Survey","sp1676","Arrow S Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","11.9","","","Rec061"
"d63347","BAC.MSLA_Bro046_Mem150.20190820","","","2019-08-20","2019-11-20","","","46.84881","-113.97624","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","16.5","","","Bro046"
"d63348","BAC.MSLA_Bro078_Mem194.20190904","","","2019-09-04","2019-11-19","","","46.81915","-114.01406","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","17.4","","","Bro078"
"d63352","BAC.MSLA_Bro072_Mem212.20190904","","","2019-09-04","2019-11-19","","","46.81645","-114.01799","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Bro072"
"d63349","BAC.MSLA_Bro002_Mem186.20191012","","","2019-10-12","2019-11-19","","","46.82091","-114.03002","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","13","","","Bro002"
"d63456","BAC.HMSA_Rec027_Mem074.20190712","","","2019-07-12","2019-08-31","","","48.10984","-112.64936","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","20.1","","","Rec027"
"d63350","BAC.MSLA_Bro026_Mem139.20191012","","","2019-10-12","2019-11-19","","","46.81736","-114.06136","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","37","","","Bro026"
"d63459","BAC.HMSA_Rec036_Mem049.20190712","","","2019-07-12","2019-08-31","","","48.13519","-112.63251","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","16.5","","","Rec036"
"d63458","BAC.HMSA_Rec030_Mem105.20190712","","","2019-07-12","2019-08-31","","","48.13517","-112.64500","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","14.6","","","Rec030"
"d63370","BAC.MSLA_Bro039_Mem189.20190718","","","2019-07-18","2019-10-06","","","46.87191","-114.06057","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","22.9","","","Bro039"
"d63357","BAC.MSLA_Bro067_Mem159.20191006","","","2019-10-06","2019-11-17","","","46.86777","-114.05781","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","22","","","Bro067"
"d63359","BAC.MSLA_Bro052_Mem147.20190910","","","2019-09-10","2019-11-14","","","46.88117","-113.97487","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","13","","","Bro052"
"d63369","BAC.MSLA_Bro001_Mem117.20190729","","","2019-07-29","2019-10-07","","","46.86254","-113.97896","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","11","","","Bro001"
"d63366","BAC.MSLA_Bro055_Mem187.20190818","","","2019-08-18","2019-10-12","","","46.86875","-113.99052","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","33","","","Bro055"
"d63358","BAC.MSLA_Bro074_Mem214.20190823","","","2019-08-23","2019-11-14","","","46.86262","-113.94162","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","13","","","Bro074"
"d63360","BAC.MSLA_Bro007_Mem209.20190730","","","2019-07-30","2019-11-14","","","46.87617","-113.96255","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","22.9","","","Bro007"
"d63457","BAC.HMSA_Rec062_Mem019.20190712","","","2019-07-12","2019-08-31","","","48.12798","-112.67413","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","16.5","","","Rec062"
"d63362","BAC.MSLA_Bro031_Mem207.20190730","","","2019-07-30","2019-10-22","","","46.89771","-114.17403","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","18.3","","","Bro031"
"d63455","BAC.HMSA_Rec023_Mem112.20190712","","","2019-07-12","2019-08-31","","","48.12032","-112.63945","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","11.9","","","Rec023"
"d63351","BAC.MSLA_Bro024_Mem174.20191012","","","2019-10-12","2019-11-19","","","46.83493","-114.00570","False","p211","Montana Ranch Survey","sp1681","Urban-Wild Missoula","","","","Camera Functioning","","No Bait","","Not Entered","","","30","","","Bro024"
"d63470","BAC.HMSA_Rec038_Mem004.20190712","","","2019-07-12","2019-08-31","","","48.12678","-112.65990","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","13.7","","","Rec038"
"d63471","BAC.HMSA_Rec003_Mem177.20190712","","","2019-07-12","2019-08-31","","","48.13133","-112.65390","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","12.8","","","Rec003"
"d63472","BAC.HMSA_Rec020_Mem178.20190712","","","2019-07-12","2019-08-31","","","48.12195","-112.63253","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","21.9","","","Rec020"
"d63473","BAC.HMSA_Rec040_Mem082.20190712","","","2019-07-12","2019-08-31","","","48.12766","-112.63809","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","18.3","","","Rec040"
"d63487","BAC.HMSA_Rec009_Mem074.20190522","","","2019-05-22","2019-06-22","","","48.13159","-112.66897","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","10.1","","","Rec009"
"d63509","BAC.HMSA_Rec017_Mem064.20190622","","","2019-06-22","2019-07-12","","","48.10449","-112.64229","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Rec017"
"d63476","BAC.HMSA_Rec001_Mem179.20190712","","","2019-07-12","2019-08-31","","","48.10228","-112.65458","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Rec001"
"d63505","BAC.HMSA_Rec003_Mem022.20190622","","","2019-06-22","2019-07-12","","","48.12849","-112.65569","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","16.5","","","Rec003"
"d63507","BAC.HMSA_Rec030_Mem068.20190622","","","2019-06-22","2019-07-12","","","48.13379","-112.65446","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","11.9","","","Rec030"
"d63474","BAC.HMSA_Rec056_Mem043.20190712","","","2019-07-12","2019-08-31","","","48.13293","-112.61328","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","22.9","","","Rec056"
"d63483","BAC.HMSA_Rec017_Mem043.20190522","","","2019-05-22","2019-06-22","","","48.10469","-112.65472","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","12.8","","","Rec017"
"d63478","BAC.HMSA_Rec022_Mem180.20190712","","","2019-07-12","2019-08-30","","","48.10810","-112.65974","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","14.6","","","Rec022"
"d63481","BAC.HMSA_Rec007_Mem096.20190521","","","2019-05-21","2019-06-21","","","48.11366","-112.67038","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","10.1","","","Rec007"
"d63497","BAC.HMSA_Rec001_Mem029.20190622","","","2019-06-22","2019-07-12","","","48.13556","-112.62816","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Rec001"
"d63475","BAC.HMSA_Rec049_Mem037.20190712","","","2019-07-12","2019-08-31","","","48.13921","-112.61748","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","11","","","Rec049"
"d63477","BAC.HMSA_Rec017_Mem096.20190712","","","2019-07-12","2019-08-31","","","48.10638","-112.64085","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","19.2","","","Rec017"
"d63508","BAC.HMSA_Rec009_Mem081.20190622","","","2019-06-22","2019-07-10","","","48.12504","-112.67139","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","21","","","Rec009"
"d61884","BAC.BLCH_Rec057_Mem054.20190725","","","2019-07-25","2019-08-19","","","47.06531","-113.10582","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","13.7","","","Rec057"
"d61882","BAC.BLCH_Rec046_Mem031.20190725","","","2019-08-19","2019-10-24","","","47.07142","-113.11273","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","14.6","","","046"
"d63502","BAC.HMSA_Rec020_Mem107.20190622","","","2019-06-22","2019-07-12","","","48.11958","-112.63502","False","p211","Montana Ranch Survey","sp1677","Heirmosa Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","21","","","Rec020"
"d61883","BAC.BLCH_Rec039_Mem039.20190725","","","2019-07-25","2019-08-19","","","47.06531","-113.10165","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","19.2","","","Rec039"
"d61863","BAC.BLCH_Rec050_Mem109.20190819","","","2019-08-19","2019-10-24","","","47.08127","-113.09924","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","18.3","","","Rec050"
"d61885","BAC.BLCH_Rec004_Mem061.20190725","","","2019-07-25","2019-08-19","","","47.08449","-113.10736","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","20.1","","","Rec004"
